Brand,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l
American Brands,,Bullitt Classic Cars,service,Colombia,Florida,"8690 S Florida Ave Floral City, FL 34436USA",LSC,Florida,"3,304","10,054","1,121","2,183",443
American Brands,,Burkhardt Motors,service,Germany,Zwickau,"Großsteinberger Straße 38, Pomßen 04668 Parthenstein, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
American Brands,,Burnyzz,service,United States,Ocala,"1 Aspen Road, Ocala, FL 34480, USA",OCF,Ocala,"1,987","6,705",681,"1,307",269
American Brands,,C & C Auto Sales,service,United States,Riverside,"613 River Rd, Riverside, NJ 08075, USA",RIV,Riverside,"2,933","9,128",997,"1,936",394
American Brands,,C&N Motor Cars,service,United States,Marysville,"15769 Watkins Road, Marysville, OH 43040, USA",MYV,Marysville,"2,890","9,018",982,"1,907",389
American Brands,,California Dream,service,Belgium,Zwijndrecht,"Iepenstraat 10, 9100 Sint-Niklaas, Belgium",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,,California Dream Cars,service,Turkey,Van,"14217 Oxnard St, Van Nuys, CA 91401, USA",VAN,Van,"1,213","4,547",421,792,167
American Brands,,California Import Marc Lenaerts,service,Belgium,Zwijndrecht,"Olenseweg 382, 2260 Westerlo, Belgium",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,,Carcraft Classics,service,United States,Canton,"321 Canton Rd, Cumming, GA 30040, USA",CTK,Canton,"2,116","7,058",724,"1,392",286
American Brands,,Carolina Muscle Cars,service,,,"301 South Wall Street, Benson, NC 27504, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Carroll Street Classics,service,United Kingdom,Manchester,"68 Carroll Street, Manchester, NH 03102, USA",MHT,Manchester,"1,445","5,195",499,946,197
American Brands,,Castleford American Autos,service,United Kingdom,Castleford,"30 Methley Rd, Castleford WF10 1NY, UK",LBA,Leeds,500,"1,824",185,314,73
American Brands,,Caviglia,spare parts,Switzerland,Zürich,"Grimselweg 3, 6005 Lucerne, Switzerland",ZRH,Zürich,427,"1,770",158,269,45
American Brands,,Cerone Automotive,service,,,"140 Day St, Newington, CT 06111, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Champion Pre-Owned Classics,service,,,"118 Amanda Ct, Harpers Ferry, WV 25425, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Chucks Restoration Supplies,spare parts,New Zealand,Wellington,"10 Oneills Road, Swanson, Auckland, New Zealand",WLG,Wellington,"8,095","19,647","2,725","5,370","1,078"
American Brands,,Classic & American Imports,service,Australia,Whyalla,"unit 13/1154 Old Port Road, Royal Park SA 5014, Australia",WYA,Whyalla,"6,789","17,032","2,288","4,501",905
American Brands,,Classic & Collectible Cars,service,United States,Las Vegas,"3701 Sirius Avenue, Las Vegas, NV 89102, USA",LAS,Las Vegas,"2,811","8,819",956,"1,855",378
American Brands,,Classic Auto Haus of Geneva,service,United States,Geneva,"1002 Commerce Dr, Geneva, IL 60134, USA",GVA,Geneva,383,"1,543",144,239,36
American Brands,,Classic Autoparts,spare parts,,,"18483 U.S. Hwy 95, Hayden, ID 83835, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,Classic Car Company GmbH,spare parts,Germany,Zwickau,"Hochstraße 36, 32051 Herford, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
American Brands,,Classic Car Depot,service,United Kingdom,Washington,"215 Washington Street, Clarkesville, GA 30523, USA",DCA,Washington,"1,660","5,793",571,"1,089",226
American Brands,,Classic Car Garage Limited,service,New Zealand,Wellington,"231 Archers Road, Wairau Valley, Auckland 0627, New Zealand",WLG,Wellington,"8,095","19,647","2,725","5,370","1,078"
